V1		bench	correl
516	sz000426	兴业矿业	sh000905	0.595082992649822
517	sz000488	晨鸣纸业	sh000905	0.713692616678387
518	sz000501	鄂武商Ａ	sh000905	0.629241153176295
519	sz000503	海虹控股	sh000905	0.635436364502828
520	sz000513	丽珠集团	sh000905	0.61882354409203
521	sz000517	荣安地产	sh000905	0.564978146740967
522	sz000519	中兵红箭	sh000905	0.589799051302371
523	sz000528	柳 工	sz399001	0.763739122720728
524	sz000536	华映科技	sh000905	0.595330577443892
525	sz000538	云南白药	sh000300	0.49965777676681
526	sz000539	粤电力Ａ	sh000001	0.663932589089555
527	sz000540	中天城投	sz399001	0.611448897266761
528	sz000541	佛山照明	sh000905	0.71465307354059
529	sz000543	皖能电力	sh000001	0.693826926986354
530	sz000547	航天发展	sh000905	0.695442185995851
531	sz000550	江铃汽车	sz399001	0.627674580710059
532	sz000552	靖远煤电	sz399001	0.671053194105583
533	sz000555	神州信息	sz399006	0.587624869652843
534	sz000559	万向钱潮	sh000905	0.695922063557824
535	sz000563	陕国投Ａ	sh000001	0.703714537145691
536	sz000564	供销大集	sh000905	0.653894671163521
537	sz000566	海南海药	sh000905	0.592313256558435
538	sz000568	泸州老窖	sz399001	0.606426144590629
539	sz000572	海马汽车	sh000905	0.744048323473115
540	sz000581	威孚高科	sh000905	0.646024558356894
541	sz000587	金洲慈航	sh000905	0.300915047851582
