D,T,O,H,L,C,V
2/10/2017,1349,3198.74,3199.03,3197.93,3198.83,82678
2/10/2017,1350,3198.07,3198.16,3197.43,3197.87,73513
2/10/2017,1351,3197.22,3197.87,3196.91,3197.87,71838
2/10/2017,1352,3197.57,3197.89,3196.92,3197.89,75748
2/10/2017,1353,3198.07,3198.59,3197.54,3198.59,70442
2/10/2017,1354,3198.2,3198.99,3197.61,3198.99,86967
2/10/2017,1355,3199.1,3200.13,3198.65,3199.83,123135
2/10/2017,1356,3200.34,3200.34,3199.31,3200.32,87805
2/10/2017,1357,3200.79,3200.79,3199.89,3199.92,83471
2/10/2017,1358,3201.07,3201.07,3200.15,3200.78,75957
2/10/2017,1359,3200.67,3201.15,3200,3201.15,79485
2/10/2017,1400,3200.8,3201.04,3200.37,3200.82,75515
2/10/2017,1401,3201.25,3201.44,3200.65,3201.29,79640
2/10/2017,1402,3201.78,3201.78,3200.29,3201.04,86083
2/10/2017,1403,3202.11,3202.11,3200.86,3201.24,81169
2/10/2017,1404,3201.05,3201.37,3200.68,3201.27,85860
